h,u,v
2705,13.105549065233127,5.348228280139186
2708,12.927191884499411,5.068669202614973
2712,13.213630535846933,5.603889654112018
2716,11.815758054417728,4.826229885389935
2720,12.332137630981403,5.12743105098699
2726,12.328767974470258,5.368737360787804
2732,12.09804414106926,5.353148987581059
2738,12.219038899196011,4.999567174406253
2744,12.246578018518964,4.986452532517684
2750,11.500703344974362,4.772369108986092
2756,11.625888189513931,4.745819067313226
2761,12.061290091596575,5.167319730656373
2766,11.395042044506079,5.099836118838208
2771,11.117090737371697,4.941812661469861
2775,12.303176962350557,5.448666920526433
2780,11.42787920692022,5.283690240953417
2784,11.485691932300968,5.213932569583191
2789,11.082992671549011,4.814851650093118
2794,12.1295706253244,5.45952850752508
2799,11.083661811377048,4.8943635678031585
2804,11.084009300578558,4.899842507338788
2810,12.308487338633885,5.394722462125456
2815,11.516140379814036,5.177556368094112
2820,11.42944960514709,5.132603753803968
2825,11.214320080289951,5.098120029617908
2831,11.340403539790834,5.183185283257458
2836,12.043851430015021,5.440056752202511
2842,11.74646752983075,5.252112695418093
2847,12.029901536357537,6.125350613490378
2852,11.922117329618656,5.807621681830766
2857,12.187018313665014,6.179244197758036
2862,12.085200012130919,5.841016181050464
2867,11.761089348864735,6.022036212811703
2873,12.305578498255779,6.024192023417178
2879,12.132381412458859,6.104755619956538
2887,12.633257409671314,6.618539256259181
2894,12.061086327668692,6.433245876662346
2902,11.634137526208384,6.160913715934846
2910,12.40445598784452,6.687289615836209
2916,12.654154917072237,6.867443313207854
2922,11.602761337122695,6.5885307277281955
2928,12.462558544910543,6.750855155744876
2933,12.667904865525026,7.511993283452287
2939,12.278298945694536,7.108715298900865
2944,11.971835134031341,7.144801466959652
2949,12.784973002579932,7.4334995877374155
2954,12.364059756619568,7.413251657747382
2958,12.726612992144249,7.780039217909358
2962,11.71756113890302,7.013816714885861
2966,11.78697261658736,7.0583458671974135
2970,13.016000725994319,7.818507994464426
2975,12.408043037739304,7.268045906284997
2979,12.182296789745298,7.308617730409899
2983,12.929439757958566,7.7245200116092
2988,12.634752447108324,7.398042281624999
2992,12.859800123271205,7.725227909330028
2997,12.289564358097417,7.164353311254526
3002,12.669166408250831,7.691084857963797
3007,12.962062983407229,7.711482178846888
3011,13.036695793483599,7.649566925470187
3015,12.242258211731446,7.620877032567497
3019,12.846080419365972,7.817281742896711
3024,12.480579212868468,7.496372196879043
3028,13.332444529516945,7.711690016616459
3033,12.618861516907916,7.372053301667281
3038,13.543007856136294,8.072015377471727
3043,12.661450528792006,7.481037469485158
3048,12.931060688079523,7.780325321640733
3054,12.581049135198096,7.299960741204329
3058,13.648644046328398,7.771322008249626
3063,13.496729894294468,7.501637682630675
3068,13.840881737270879,7.876853525598709
3074,13.50728102722844,7.5082549873699564
3079,13.921294137605663,8.221853658792375
3084,13.814469534984905,7.987370215153368
3090,13.222714850997866,7.788388505749196
3096,13.908398816741364,7.9832716605117735
3101,14.043873818573706,8.139811167777427
3106,13.486971518347413,7.848265980784647
3111,13.710011857955195,8.139813432527667
3116,13.765407322570889,8.132300238572371
3120,13.749791985445357,8.221369409132683
3124,13.769279005920414,8.496192472550677
3128,12.939290197934783,7.772408693895856
3131,13.236539974706945,8.447721300945712
