height,u,v
2.006000000000000000e+03,1.589305667146068579e+01,8.450488130146034393e+00
2.011000000000000000e+03,1.589305667146068579e+01,8.450488130146034393e+00
2.016000000000000000e+03,1.589305667146068579e+01,8.450488130146034393e+00
2.021000000000000000e+03,1.589305667146068579e+01,8.450488130146034393e+00
2.026000000000000000e+03,1.598135143074657982e+01,8.497435286424623868e+00
2.030000000000000000e+03,1.598135143074657982e+01,8.497435286424623868e+00
2.035000000000000000e+03,1.598135143074657982e+01,8.497435286424623868e+00
2.038000000000000000e+03,1.583061669922306614e+01,8.775054126458696757e+00
2.043000000000000000e+03,1.591807866993700316e+01,8.823535088483330568e+00
2.047000000000000000e+03,1.591807866993700316e+01,8.823535088483330568e+00
2.052000000000000000e+03,1.600554064065094551e+01,8.872016050507964380e+00
2.056000000000000000e+03,1.600554064065094551e+01,8.872016050507964380e+00
2.061000000000000000e+03,1.609300261136488075e+01,8.920497012532596415e+00
2.065000000000000000e+03,1.618046458207882310e+01,8.968977974557232002e+00
2.069000000000000000e+03,1.618046458207882310e+01,8.968977974557232002e+00
2.072000000000000000e+03,1.626792655279276545e+01,9.017458936581865814e+00
2.076000000000000000e+03,1.626792655279276545e+01,9.017458936581865814e+00
2.079000000000000000e+03,1.635538852350670069e+01,9.065939898606497849e+00
2.083000000000000000e+03,1.644285049422064304e+01,9.114420860631133436e+00
2.087000000000000000e+03,1.644285049422064304e+01,9.114420860631133436e+00
2.092000000000000000e+03,1.653031246493458184e+01,9.162901822655765471e+00
2.097000000000000000e+03,1.653031246493458184e+01,9.162901822655765471e+00
2.103000000000000000e+03,1.661777443564852064e+01,9.211382784680399283e+00
2.109000000000000000e+03,1.661777443564852064e+01,9.211382784680399283e+00
2.115000000000000000e+03,1.670523640636246299e+01,9.259863746705034870e+00
2.121000000000000000e+03,1.686429902360550770e+01,8.966906849210513286e+00
2.127000000000000000e+03,1.686429902360550770e+01,8.966906849210513286e+00
2.132000000000000000e+03,1.686429902360550770e+01,8.966906849210513286e+00
2.137000000000000000e+03,1.686429902360550770e+01,8.966906849210513286e+00
2.142000000000000000e+03,1.695259378289139818e+01,9.013854005489102761e+00
2.146000000000000000e+03,1.695259378289139818e+01,9.013854005489102761e+00
2.150000000000000000e+03,1.695259378289139818e+01,9.013854005489102761e+00
2.154000000000000000e+03,1.686429902360550770e+01,8.966906849210513286e+00
2.157000000000000000e+03,1.686429902360550770e+01,8.966906849210513286e+00
2.161000000000000000e+03,1.701822461199782666e+01,8.671218545025347169e+00
2.165000000000000000e+03,1.701822461199782666e+01,8.671218545025347169e+00
2.169000000000000000e+03,1.701822461199782666e+01,8.671218545025347169e+00
2.172000000000000000e+03,1.701822461199782666e+01,8.671218545025347169e+00
