geopotential height_m,wind direction_degree,wind speed_m/s
6822,237,26.7
6828,237,26.7
6835,237,26.6
6842,237,26.6
6848,236,26.6
6854,236,26.6
6860,236,26.6
6864,236,26.6
6870,236,26.6
6875,236,26.6
6880,235,26.6
6886,235,26.6
6891,235,26.5
6897,235,26.5
6903,235,26.5
6909,235,26.5
6916,234,26.5
6922,234,26.5
6928,234,26.5
6933,234,26.5
6938,234,26.5
6944,234,26.4
6949,234,26.4
6954,234,26.4
6959,233,26.4
6964,233,26.3
6969,233,26.3
6975,233,26.2
6981,233,26.2
6988,233,26.1
6995,233,26.1
7002,233,26
7010,233,26
7016,233,25.9
7022,233,25.9
7027,233,25.8
7032,234,25.7
7038,234,25.7
7044,234,25.6
7050,234,25.5
7057,234,25.4
7065,234,25.4
7072,234,25.3
7080,234,25.2
7087,235,25.2
7093,235,25.1
7099,235,25.1
7104,235,25
7109,235,25
7113,235,24.9
7118,235,24.9
7123,235,24.8
7128,236,24.8
7133,236,24.8
7138,236,24.8
7144,236,24.7
7150,236,24.7
7156,236,24.7
7162,236,24.8
7168,236,24.8
7174,236,24.8
7179,236,24.8
7185,236,24.9
7191,236,24.9
7196,236,24.9
7202,236,25
7208,236,25
7214,236,25.1
7221,236,25.2
7227,236,25.2
7233,236,25.3
7240,236,25.4
7247,236,25.4
7254,236,25.5
7260,236,25.6
7266,236,25.6
7271,236,25.7
7276,236,25.8
7281,236,25.8
7286,236,25.9
7291,235,26
7296,235,26
7302,235,26.1
7308,235,26.1
7313,235,26.2
7318,235,26.2
7324,235,26.3
7329,235,26.3
7335,234,26.3
7341,234,26.4
7347,234,26.4
7353,234,26.4
7360,234,26.4
7366,234,26.4
7372,234,26.4
7378,233,26.4
7384,233,26.5
7390,233,26.5
7396,233,26.4
7401,233,26.4
7406,233,26.4
7411,233,26.4
7417,232,26.4
7423,232,26.4
7429,232,26.4
7435,232,26.4
7442,232,26.4
7448,232,26.4
7455,232,26.4
7462,232,26.4
7470,232,26.4
7477,232,26.4
7484,232,26.5
7491,232,26.5
7498,232,26.5
7503,232,26.6
7509,232,26.6
7514,232,26.7
7520,232,26.8
7526,232,26.8
7531,232,26.9
7537,232,27
7542,232,27.1
7544,232,27.1
7547,232,27.1
7552,232,27.2
7557,232,27.3
7563,233,27.4
7568,233,27.5
7574,233,27.6
7579,233,27.7
7584,233,27.8
7589,233,27.9
7595,233,27.9
7600,234,28
7606,234,28.1
7611,234,28.2
7617,234,28.3
7623,234,28.3
7628,234,28.4
7634,234,28.5
7640,234,28.5
7646,234,28.6
7651,234,28.7
7656,234,28.7
7661,234,28.8
7666,234,28.8
7672,234,28.9
7678,234,29
7683,234,29
7688,234,29.1
7693,234,29.1
7697,234,29.2
7702,234,29.3
7706,234,29.3
7711,234,29.4
7717,234,29.4
7723,234,29.5
7729,234,29.5
7736,234,29.6
7742,234,29.7
7748,234,29.7
7753,234,29.7
7759,234,29.8
7764,234,29.8
7770,234,29.9
7776,234,29.9
7782,234,29.9
7787,234,29.9
7793,234,29.9
7798,234,30
7804,234,30
7810,234,30
7816,233,30
7822,233,30
7827,233,30
7833,233,30
7838,233,30
7844,233,30
7849,233,30
7855,233,30
7860,233,30
7865,233,30.1
7871,233,30.1
7876,233,30.1
7881,233,30.2
7886,233,30.2
7892,232,30.2
7898,232,30.3
7903,232,30.3
7909,232,30.4
7914,232,30.4
7920,232,30.5
7925,232,30.5
7930,232,30.6
7936,232,30.7
7941,232,30.7
7947,232,30.8
7952,232,30.8
7957,232,30.8
7962,232,30.9
7968,232,30.9
7973,232,30.9
7979,232,31
7984,232,31
7991,232,31
7997,232,31
8004,232,31
8010,232,31
8016,232,31
8022,232,31
8028,232,31
8032,232,30.9
8036,232,30.9
8041,232,30.9
8045,232,30.9
8050,232,30.9
8054,232,30.9
8058,232,30.9
8063,232,30.8
8067,232,30.8
8072,232,30.8
8077,232,30.8
8083,232,30.8
8088,232,30.9
8093,233,30.9
8098,233,30.9
8103,233,30.9
