h,u,v
1935,14.37126427443648,-9.35264492918174
1940,13.847860051319326,-8.982593876262111
1946,15.053576816374358,-9.906367506795347
1951,13.685766871935089,-8.470060856700956
1956,15.56624166074648,-11.026041582633933
1961,13.10986466243443,-9.2806198629012
1965,15.593070487876139,-10.902826110721394
1969,15.01500640783123,-8.337333665532023
1973,13.36228589788549,-9.007314261332343
1977,13.394827128172524,-8.013014935168945
1981,12.308395804630582,-9.805717213271357
1985,13.716469717601417,-8.984397475114475
1989,14.129882701581332,-11.220569029934483
1993,15.811912448479298,-9.684064880251178
1998,11.72445668456498,-9.680359225929003
2003,14.536658173230672,-10.779273541609202
2009,12.319669996863468,-9.767302388691
2014,11.68790877464934,-8.910204290632198
2019,12.546628145611779,-8.515144298990927
2024,11.038864829368006,-10.247593760816995
2029,13.784211034582299,-10.749388784537432
2034,12.914806211555263,-9.935097070871416
2038,11.606567581582292,-11.181105909712938
2043,14.033186716714518,-12.096896595596574
2048,13.236515164543668,-11.587593666063508
2054,14.273792145844242,-11.180330219432475
2060,14.539789531459364,-11.7509267439301
2066,13.108927529140793,-13.06583318880713
2071,11.853861786721216,-10.701122819669166
2076,12.74039524582041,-11.58722305895518
2080,11.368036269723481,-12.370378166806368
2083,10.444090227708537,-11.001463254330451
2085,14.596569940502693,-11.562159893703983
2088,13.323373612071828,-11.542986515515128
2091,13.084577622780232,-12.093693707075415
2094,11.066881896560634,-11.135285246087578
2098,14.176866684480311,-12.05672622147096
2102,12.077271828540725,-11.406155317003615
2106,11.602970270758185,-10.690618652516823
2111,13.86768512823221,-12.500315482603792
2115,11.61222670444101,-11.127569845940666
2121,13.00390623352661,-10.071414498215553
