h,theta,speed
6109,233,20.5
6113,233,20.6
6116,233,20.6
6120,233,20.7
6123,233,20.7
6127,233,20.8
6130,233,20.9
6134,233,21
6137,233,21.1
6141,233,21.2
6144,233,21.3
6148,233,21.4
6152,233,21.5
6155,233,21.6
6159,232,21.7
6163,232,21.9
6167,232,22
6172,232,22.1
6176,232,22.2
6181,232,22.3
6185,232,22.5
6190,232,22.6
6194,232,22.7
6198,232,22.8
6202,232,22.9
6206,231,23
6211,231,23.2
6216,231,23.3
6220,231,23.4
6225,231,23.5
6230,231,23.6
6235,231,23.7
6240,231,23.8
6245,231,23.9
6250,231,23.9
6256,231,24
6260,231,24.1
6265,231,24.2
6269,231,24.3
6274,231,24.3
6279,231,24.4
6284,231,24.5
6289,231,24.6
6294,231,24.6
6300,231,24.7
6305,231,24.7
6310,231,24.8
6315,231,24.8
6320,231,24.9
6324,231,24.9
6329,231,25
6334,231,25
6339,231,25.1
6344,231,25.1
6349,231,25.2
6354,231,25.2
6360,231,25.3
6365,232,25.3
6370,232,25.3
6375,232,25.4
6380,232,25.4
6384,232,25.5
6388,232,25.6
6392,232,25.6
6396,232,25.7
6401,232,25.8
6406,232,25.9
6410,232,26
6415,232,26
6420,232,26.1
6426,232,26.3
6431,231,26.4
6436,231,26.5
6441,231,26.6
6446,231,26.8
6451,231,26.9
6456,231,27
6462,231,27.2
6468,231,27.3
6474,231,27.5
6479,231,27.6
6484,230,27.8
6488,230,27.9
6493,230,28
6498,230,28.2
6503,230,28.3
6509,230,28.5
6515,229,28.6
6522,229,28.7
6528,229,28.8
6533,229,28.9
6538,229,29.1
6542,229,29.2
6546,228,29.3
6550,228,29.3
6554,228,29.4
6559,228,29.5
6564,227,29.6
6568,227,29.7
6573,227,29.8
6577,227,29.8
6581,227,29.9
6586,226,30
6590,226,30.1
6595,226,30.1
6599,226,30.2
6604,226,30.3
6608,225,30.4
6612,225,30.4
6617,225,30.5
6621,225,30.6
6626,225,30.7
6632,224,30.8
6637,224,30.8
6644,224,30.9
6650,224,31
6656,224,31.1
6661,224,31.1
6666,224,31.2
6670,223,31.3
6674,223,31.3
6677,223,31.4
6681,223,31.4
6684,223,31.5
6688,223,31.5
6692,223,31.5
6695,223,31.5
6699,223,31.6
6703,223,31.6
6707,223,31.6
6711,223,31.6
6715,222,31.6
6719,222,31.6
6723,222,31.6
6727,222,31.5
6731,222,31.5
6735,222,31.5
6738,222,31.5
6742,222,31.5
6746,222,31.4
6750,222,31.4
6753,222,31.4
6756,222,31.4
6760,222,31.3
6763,222,31.3
6767,222,31.3
6771,222,31.3
6775,221,31.3
6779,221,31.2
6783,221,31.2
6787,221,31.2
6791,221,31.2
6794,221,31.2
6798,221,31.2
6801,221,31.2
6804,221,31.2
6808,221,31.2
6812,221,31.2
6815,221,31.2
6818,221,31.2
6822,221,31.2
6825,221,31.2
6829,221,31.2
6832,221,31.2
6836,221,31.2
6839,221,31.2
6843,221,31.2
6846,221,31.2
6850,221,31.2
6853,221,31.2
6857,221,31.2
6860,221,31.2
6864,221,31.2
6867,221,31.2
6871,221,31.2
6874,221,31.2
6878,221,31.2
6882,221,31.2
6886,221,31.3
6890,221,31.3
6893,221,31.3
6897,221,31.3
6900,221,31.4
6904,220,31.4
6908,220,31.4
6911,220,31.5
6914,220,31.5
6917,220,31.5
6920,220,31.6
6924,220,31.6
6927,220,31.7
6931,220,31.7
6934,220,31.8
6938,220,31.8
6942,220,31.8
6947,220,31.9
6952,220,31.9
6957,220,31.9
6962,220,31.9
6966,220,31.9
6970,219,32
6974,219,32
6978,219,32
6981,219,32
6985,219,32
6989,219,32
6993,219,32
6997,219,32
7001,219,32
7005,219,32
7009,219,32.1
7013,219,32.1
7016,219,32.1
7020,219,32.1
7024,219,32.2
7027,219,32.2
7030,219,32.2
7034,218,32.3
7039,218,32.3
7045,218,32.4
7051,218,32.5
7057,218,32.5
7063,218,32.6
7068,218,32.7
7072,218,32.7
7076,218,32.8
7079,218,32.9
7082,218,32.9
7085,218,33
7087,219,33.1
7090,219,33.1
7094,219,33.2
7097,219,33.2
7101,219,33.3
7105,219,33.3
7109,219,33.4
7112,219,33.4
7116,219,33.5
7120,219,33.5
7124,219,33.5
7127,219,33.5
7131,219,33.6
7134,219,33.6
7138,219,33.6
7142,220,33.6
7145,220,33.6
7149,220,33.6
7152,220,33.6
7156,220,33.6
7159,220,33.6
7163,220,33.6
7167,220,33.5
7171,220,33.5
7175,220,33.5
7179,220,33.5
7183,220,33.5
7188,220,33.4
7192,220,33.4
7196,220,33.4
7201,220,33.4
7205,220,33.3
7209,220,33.3
7211,220,33.3
7214,220,33.3
7218,220,33.3
7223,220,33.2
7228,220,33.2
7234,220,33.2
7239,220,33.2
7245,220,33.2
7250,220,33.2
7256,221,33.2
